,Point,Away,Right,Elevation,Description,Translated_X,Translated_Y,Translated_Z,Rotated_X,Rotated_Y,Rotated_Z,Latitude,Longitude,Altitude
0,1,0,0,100,Local Entry Verify,1150000,4562000,100,1150000,4562000,100,-87.6403512225175,49.18159773600969,100
1,2,1000,100,110,Local Exit Verify,1151000,4562100,110,1150998.9500537459,4562109.994500413,110,-87.63617081352412,49.181874046410464,110
2,3,-2.61,2.09,101.38,(entry),1149997.39,4562002.09,101.38,1149997.3692315351,4562002.063796813,101.38,-87.64036214164567,49.18160345795085,101.38
3,4,-1.63,2.08,101.16,JT 0,1149998.37,4562002.08,101.16,1149998.3492825339,4562002.063596823,101.16,-87.6403580444843,49.18160343281752,101.16
4,5,17.37,1.8,96.96,JT 1,1150017.37,4562001.8,96.96,1150017.3511324653,4562001.973601323,96.96,-87.64027860941984,49.181602709476756,96.96
5,6,37.06,1.39,93.47,JT 2,1150037.06,4562001.39,93.47,1150037.044247834,4562001.760511977,93.47,-87.6401962891884,49.18160163139113,93.47
6,7,56.86,1.05,90.67,JT 3,1150056.86,4562001.05,90.67,1150056.8466577383,4562001.618519076,90.67,-87.64011350932643,49.18160074534778,90.67
7,8,76.74,0.88,88.47,JT 4,1150076.74,4562000.88,88.47,1150076.7273637278,4562001.647317636,88.47,-87.64003039560727,49.1816003253432,88.47
8,9,96.65,0.39,86.74,JT 5,1150096.65,4562000.39,86.74,1150096.6412680573,4562001.35643218,86.74,-87.63994715534288,49.18159902833434,86.74
9,10,116.61,-0.1,85.54,JT 6,1150116.61,4561999.9,85.54,1150116.6051698874,4562001.066046699,85.54,-87.63986370604646,49.18159773138059,85.54
10,11,136.6,-0.19,84.95,JT 7,1150136.6,4561999.81,84.95,1150136.5950704173,4562001.175941204,84.95,-87.63978013273547,49.18159753070252,84.95
11,12,156.6,-0.18,84.81,JT 8,1150156.6,4561999.82,84.81,1150156.5939704974,4562001.385930706,84.81,-87.63969651796859,49.1815976040537,84.81
12,13,176.6,-0.17,84.81,JT 9,1150176.6,4561999.83,84.81,1150176.5928705772,4562001.595920206,84.81,-87.63961290320209,49.181597677344314,84.81
13,14,196.6,-0.22,84.8,JT 10,1150196.6,4561999.78,84.8,1150196.5923706272,4562001.7459127065,84.8,-87.63952928822641,49.181597586134345,84.8
14,15,216.6,-0.19,84.76,JT 11,1150216.6,4561999.81,84.76,1150216.5910707172,4562001.975901207,84.76,-87.63944567353072,49.18159771411722,84.76
15,16,236.6,-0.52,84.74,JT 12,1150236.6,4561999.48,84.74,1150236.5933706274,4562001.845907708,84.74,-87.63936205758117,49.18159685539931,84.74
16,17,256.59,-1.1,84.74,JT 13,1150256.59,4561998.9,84.74,1150256.5881709123,4562001.465826711,84.74,-87.63927848257283,49.1815953114312,84.74
17,18,276.59,-1.13,84.75,JT 14,1150276.59,4561998.87,84.75,1150276.5874709722,4562001.635818211,84.75,-87.63919486767377,49.18159527479247,84.75
18,19,296.58,-0.75,84.74,JT 15,1150296.58,4561999.25,84.74,1150296.5726717373,4562002.215689219,84.74,-87.63911129600542,49.18159636174406,84.74
19,20,316.58,-0.63,84.78,JT 16,1150316.58,4561999.37,84.78,1150316.570471872,4562002.53567322,84.78,-87.63902768162575,49.18159673608437,84.78
20,21,336.58,-0.89,84.83,JT 17,1150336.58,4561999.11,84.83,1150336.5720718172,4562002.47567622,84.83,-87.63894406593047,49.18159606891055,84.83
21,22,356.57,-1.28,84.84,JT 18,1150356.57,4561998.72,84.84,1150356.5649721972,4562002.285585723,84.84,-87.63886049159623,49.18159504536679,84.84
22,23,376.57,-1.62,84.86,JT 19,1150376.57,4561998.38,84.86,1150376.567372102,4562002.145592723,84.86,-87.63877687563124,49.181594158818555,84.86
23,24,396.57,-1.87,84.86,JT 20,1150396.57,4561998.13,84.86,1150396.5688720522,4562002.095595223,84.86,-87.63869325998004,49.18159351886985,84.86
24,25,416.57,-1.77,84.9,JT 21,1150416.57,4561998.23,84.9,1150416.5668721772,4562002.395580225,84.9,-87.63860964553633,49.181593838094145,84.9
25,26,436.56,-1.36,84.95,JT 22,1150436.56,4561998.64,84.95,1150436.551772957,4562003.005449731,84.95,-87.63852607396515,49.18159500684221,84.95
26,27,456.56,-1.02,85.05,JT 23,1150456.56,4561998.98,85.05,1150456.547373202,4562003.545422734,85.05,-87.63844246034299,49.18159598370558,85.05
27,28,476.55,-0.54,85.17,JT 24,1150476.55,4561999.46,85.17,1150476.531574017,4562004.22528874,85.17,-87.63835888900547,49.18159734417931,85.17
