Point,Easting,Northing,Elevation,Description
1,1148447.377,1942200.809,101.38,(entry)
2,1148446.397,1942200.791,101.16,JT 0
3,1148427.4,1942200.357,96.96,JT 1
4,1148407.714,1942199.787,93.47,JT 2
5,1148387.917,1942199.286,90.67,JT 3
6,1148368.039,1942198.954,88.47,JT 4
7,1148348.134,1942198.303,86.74,JT 5
8,1148328.179,1942197.651,85.54,JT 6
9,1148308.19,1942197.398,84.95,JT 7
10,1148288.191,1942197.246,84.81,JT 8
11,1148268.191,1942197.093,84.81,JT 9
12,1148248.192,1942196.881,84.8,JT 10
13,1148228.193,1942196.748,84.76,JT 11
14,1148208.196,1942196.256,84.74,JT 12
15,1148188.211,1942195.513,84.74,JT 13
16,1148168.212,1942195.321,84.75,JT 14
17,1148148.22,1942195.538,84.74,JT 15
18,1148128.22,1942195.496,84.78,JT 16
19,1148108.222,1942195.073,84.83,JT 17
20,1148088.236,1942194.521,84.84,JT 18
21,1148068.24,1942194.018,84.86,JT 19
22,1148048.242,1942193.606,84.86,JT 20
23,1148028.242,1942193.543,84.9,JT 21
24,1148008.249,1942193.791,84.95,JT 22
25,1147988.247,1942193.968,85.05,JT 23
26,1147968.254,1942194.286,85.17,JT 24
27,1147948.252,1942194.473,85.3,JT 25
28,1147928.251,1942194.461,85.39,JT 26
29,1147908.251,1942194.478,85.49,JT 27
30,1147888.251,1942194.396,85.62,JT 28
31,1147868.251,1942194.213,85.76,JT 29
32,1147848.252,1942194.081,85.88,JT 30
33,1147828.252,1942193.988,86.02,JT 31
34,1147808.252,1942193.846,86.15,JT 32
35,1147788.253,1942193.663,86.28,JT 33
36,1147768.264,1942193.541,86.41,JT 34
37,1147748.263,1942193.508,86.52,JT 35
38,1147728.263,1942193.466,86.62,JT 36
39,1147708.263,1942193.423,86.67,JT 37
40,1147688.262,1942193.351,86.63,JT 38
41,1147668.263,1942193.248,86.57,JT 39
42,1147648.264,1942193.056,86.52,JT 40
43,1147628.268,1942192.483,86.5,JT 41
44,1147608.282,1942191.861,86.52,JT 42
45,1147588.285,1942191.368,86.59,JT 43
46,1147568.289,1942190.866,86.74,JT 44
47,1147548.301,1942190.503,86.87,JT 45
48,1147528.303,1942190.221,86.99,JT 46
49,1147508.303,1942190.098,87.1,JT 47
50,1147488.302,1942190.116,87.22,JT 48
51,1147468.301,1942190.193,87.3,JT 49
52,1147448.3,1942190.211,87.31,JT 50
53,1147428.3,1942190.108,87.4,JT 51
54,1147408.3,1942190.096,87.57,JT 52
55,1147388.299,1942190.073,87.74,JT 53
56,1147368.311,1942189.801,87.93,JT 54
57,1147348.313,1942189.428,88.15,JT 55
58,1147328.315,1942189.146,88.34,JT 56
59,1147308.316,1942188.893,88.51,JT 57
60,1147288.317,1942188.751,88.7,JT 58
61,1147268.316,1942188.748,88.89,JT 59
62,1147248.315,1942188.836,89.02,JT 60
63,1147228.324,1942188.823,89.08,JT 61
64,1147208.325,1942188.641,89.13,JT 62
65,1147188.326,1942188.388,89.32,JT 63
66,1147168.326,1942188.396,89.83,JT 64
67,1147148.345,1942188.434,90.51,JT 65
68,1147142.345,1942188.365,90.7,JT 66
