Point,Latitude,Longitude,Elevation,Description
1,"41°59'50.4339""","-087°43'45.3970""",101.38,(entry)
2,"41°59'50.4338""","-087°43'45.4100""",101.16,JT 0
3,"41°59'50.4308""","-087°43'45.6616""",96.96,JT 1
4,"41°59'50.4265""","-087°43'45.9224""",93.47,JT 2
5,"41°59'50.4230""","-087°43'46.1846""",90.67,JT 3
6,"41°59'50.4211""","-087°43'46.4479""",88.47,JT 4
7,"41°59'50.4160""","-087°43'46.7116""",86.74,JT 5
8,"41°59'50.4110""","-087°43'46.9759""",85.54,JT 6
9,"41°59'50.4099""","-087°43'47.2406""",84.95,JT 7
10,"41°59'50.4098""","-087°43'47.5055""",84.81,JT 8
11,"41°59'50.4096""","-087°43'47.7704""",84.81,JT 9
12,"41°59'50.4089""","-087°43'48.0352""",84.8,JT 10
13,"41°59'50.4090""","-087°43'48.3001""",84.76,JT 11
14,"41°59'50.4056""","-087°43'48.5650""",84.74,JT 12
15,"41°59'50.3996""","-087°43'48.8297""",84.74,JT 13
16,"41°59'50.3991""","-087°43'49.0946""",84.75,JT 14
17,"41°59'50.4026""","-087°43'49.3593""",84.74,JT 15
18,"41°59'50.4036""","-087°43'49.6242""",84.78,JT 16
19,"41°59'50.4008""","-087°43'49.8890""",84.83,JT 17
20,"41°59'50.3968""","-087°43'50.1538""",84.84,JT 18
21,"41°59'50.3932""","-087°43'50.4186""",84.86,JT 19
22,"41°59'50.3905""","-087°43'50.6835""",84.86,JT 20
23,"41°59'50.3913""","-087°43'50.9484""",84.9,JT 21
24,"41°59'50.3951""","-087°43'51.2131""",84.95,JT 22
25,"41°59'50.3983""","-087°43'51.4780""",85.05,JT 23
26,"41°59'50.4028""","-087°43'51.7427""",85.17,JT 24
27,"41°59'50.4060""","-087°43'52.0076""",85.3,JT 25
28,"41°59'50.4073""","-087°43'52.2725""",85.39,JT 26
29,"41°59'50.4088""","-087°43'52.5374""",85.49,JT 27
30,"41°59'50.4094""","-087°43'52.8022""",85.62,JT 28
31,"41°59'50.4090""","-087°43'53.0671""",85.76,JT 29
32,"41°59'50.4091""","-087°43'53.3320""",85.88,JT 30
33,"41°59'50.4096""","-087°43'53.5968""",86.02,JT 31
34,"41°59'50.4095""","-087°43'53.8617""",86.15,JT 32
35,"41°59'50.4091""","-087°43'54.1266""",86.28,JT 33
36,"41°59'50.4093""","-087°43'54.3913""",86.41,JT 34
37,"41°59'50.4104""","-087°43'54.6562""",86.52,JT 35
38,"41°59'50.4113""","-087°43'54.9210""",86.62,JT 36
39,"41°59'50.4123""","-087°43'55.1859""",86.67,JT 37
40,"41°59'50.4130""","-087°43'55.4508""",86.63,JT 38
41,"41°59'50.4134""","-087°43'55.7157""",86.57,JT 39
42,"41°59'50.4128""","-087°43'55.9805""",86.52,JT 40
43,"41°59'50.4086""","-087°43'56.2454""",86.5,JT 41
44,"41°59'50.4038""","-087°43'56.5101""",86.52,JT 42
45,"41°59'50.4003""","-087°43'56.7750""",86.59,JT 43
46,"41°59'50.3968""","-087°43'57.0398""",86.74,JT 44
47,"41°59'50.3946""","-087°43'57.3046""",86.87,JT 45
48,"41°59'50.3932""","-087°43'57.5694""",86.99,JT 46
49,"41°59'50.3933""","-087°43'57.8343""",87.1,JT 47
50,"41°59'50.3949""","-087°43'58.0992""",87.22,JT 48
51,"41°59'50.3970""","-087°43'58.3641""",87.3,JT 49
52,"41°59'50.3986""","-087°43'58.6289""",87.31,JT 50
53,"41°59'50.3990""","-087°43'58.8938""",87.4,JT 51
54,"41°59'50.4002""","-087°43'59.1587""",87.57,JT 52
55,"41°59'50.4014""","-087°43'59.4235""",87.74,JT 53
56,"41°59'50.4001""","-087°43'59.6883""",87.93,JT 54
57,"41°59'50.3978""","-087°43'59.9531""",88.15,JT 55
58,"41°59'50.3964""","-087°44'00.2180""",88.34,JT 56
59,"41°59'50.3953""","-087°44'00.4829""",88.51,JT 57
60,"41°59'50.3952""","-087°44'00.7478""",88.7,JT 58
61,"41°59'50.3966""","-087°44'01.0126""",88.89,JT 59
62,"41°59'50.3989""","-087°44'01.2775""",89.02,JT 60
63,"41°59'50.4001""","-087°44'01.5422""",89.08,JT 61
64,"41°59'50.3997""","-087°44'01.8071""",89.13,JT 62
65,"41°59'50.3986""","-087°44'02.0720""",89.32,JT 63
66,"41°59'50.4000""","-087°44'02.3368""",89.83,JT 64
67,"41°59'50.4018""","-087°44'02.6014""",90.51,JT 65
68,"41°59'50.4015""","-087°44'02.6809""",90.7,JT 66
